X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
,05/11/24,"30,592",180,612,"1,744","4,678","4,441","4,487","37,806","2,200",591,920,218,77,60,"1,712","1,511","33,894","32,056","30,533",4%,4%,4%
,05/12/24,"30,268",180,608,"1,963","4,664","4,519","4,521","37,683","2,250",597,920,201,48,53,"1,722","1,513","33,711","33,047","30,778",4%,4%,4%
,05/13/24,"29,390",180,611,"2,219","4,927","4,695","4,590","37,327","2,300",596,919,229,57,55,"1,742","1,514","33,285","33,531","30,957",4%,4%,4%
,05/14/24,"28,424",180,635,"2,302","5,491","4,987","4,703","37,032","2,300",598,919,248,73,54,"1,745","1,516","32,987","33,670","31,092",4%,4%,4%
,05/15/24,"26,850",180,598,"2,531","6,282","5,421","4,871","36,441","2,350",587,"2,721",262,83,63,"3,550","2,113","30,541","33,161","31,058",9%,6%,6%
,05/16/24,"24,766",180,629,"2,575","7,392","5,908","5,050","35,542","2,350",682,"3,481",256,96,69,"4,393","2,996","28,799","32,226","30,925",11%,8%,9%
,05/17/24,"22,920",180,627,"2,668","7,920","6,405","5,223","34,315","2,400",791,"3,507",249,67,66,"4,546","3,923","27,369","31,512","30,727",12%,11%,11%
,05/18/24,"22,232",180,622,"2,640","8,160","6,952","5,395","33,834","2,450",895,"3,520",258,82,69,"4,660","4,292","26,724","30,488","30,517",13%,12%,12%
,05/19/24,"21,628",180,612,"2,601","8,494","7,485","5,559","33,515","2,450",300,"3,476",251,69,59,"4,018","4,163","27,047","29,536","30,343",11%,12%,12%
,05/20/24,"21,856",180,578,"2,572","8,659","7,930","5,704","33,845","2,500",899,"1,607",262,56,56,"2,767","3,566","28,578","28,864","30,259",7%,10%,10%
,05/21/24,"21,991",180,552,"2,520","8,603","8,240","5,829","33,846","2,550",796,"1,606",250,71,52,"2,633","2,894","28,663","28,246","30,187",7%,8%,8%
,05/22/24,"22,318",180,563,"2,324","8,455","33,840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,05/23/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,05/24/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,05/25/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,05/26/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,05/27/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,05/28/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,05/29/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,05/30/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,05/31/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Total,"561,249","4,040","12,007","43,183","128,229","112,534","101,419","748,708","30,747","13,232","34,589","4,959","1,439","1,240","52,581","47,816","631,540","652,129","631,589",-,-,-
,Average,"25,511",184,546,"1,963","5,829","5,359","4,829","34,032","1,464",630,"1,647",236,69,59,"2,504","2,277","30,073","31,054","30,076",6%,6%,6%
,5/22/2024,7:20,AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
